contrast_level,region_id,admin_name,municipality_code,mixed_station_count,paper_station_count,mixed_valid_candidate_votes,paper_valid_candidate_votes,mixed_turnout,paper_turnout,paper_minus_mixed_turnout,mixed_pb_share,paper_pb_share,paper_minus_mixed_pb_share,mixed_strong_lead_rate,paper_strong_lead_rate,paper_minus_mixed_strong_lead_rate,mixed_strong_matched_leads,paper_strong_matched_leads,paper_minus_mixed_pb_votes_above_control_expectation,mixed_validation_issue_stations,paper_validation_issue_stations
municipality,26,26. СОФИЯ област,07,37,8,13446,481,0.5312142257498282,0.7155049786628734,0.1842907529130452,0.5641082849918191,0.4282744282744283,-0.1358338567173908,0.0,0.0,0.0,0,0,-20.304282347725888,1,0
municipality,10,10. КЮСТЕНДИЛ,31,1,18,205,691,0.4751131221719457,0.5751211631663974,0.10000804099445171,0.5560975609756098,0.4196816208393632,-0.13641594013624658,0.0,0.0,0.0,0,0,-25.906906400089316,0,0
municipality,13,13. ПАЗАРДЖИК,20,25,2,9518,231,0.5104656571399039,0.7005813953488372,0.19011573820893335,0.538978777054003,0.39826839826839827,-0.14071037878560472,0.04,0.0,-0.04,1,0,-29.790600752100744,0,0
municipality,14,14. ПЕРНИК,08,5,20,1760,911,0.5080421519689406,0.6364242828552368,0.12838213088629613,0.5505681818181818,0.4083424807903403,-0.1422257010278415,0.0,0.0,0.0,0,0,-99.7772386819131,0,0
municipality,19,19. РУСЕ,03,8,2,1691,145,0.40230925967851483,0.5474452554744526,0.14513599579593772,0.6250739207569486,0.4827586206896552,-0.14231530006729337,0.125,0.0,-0.125,1,0,-21.49878231736026,1,0
municipality,17,17. ПЛОВДИВ област,42,8,6,2234,356,0.3900589721988206,0.7394789579158316,0.34941998571701105,0.5420769919427036,0.398876404494382,-0.14320058744832165,0.0,0.0,0.0,0,0,7.23184650901406,1,0
municipality,14,14. ПЕРНИК,36,19,30,5496,2327,0.47195325542570954,0.6286085825747725,0.15665532714906294,0.5751455604075691,0.431886549204985,-0.14325901120258416,0.0,0.0,0.0,0,0,2.1462032203799275,0,0
municipality,26,26. СОФИЯ област,18,11,8,4750,819,0.5684613599443026,0.7225,0.15403864005569745,0.5298947368421053,0.3833943833943834,-0.1465003534477219,0.0,0.0,0.0,0,0,-6.229688326646393,1,0
municipality,11,11. ЛОВЕЧ,36,5,9,1656,574,0.4606889297922693,0.6218144750254841,0.16112554523321487,0.3991545893719807,0.25261324041811845,-0.14654134895386223,0.0,0.0,0.0,0,0,-75.85837337268781,0,0
municipality,01,01. БЛАГОЕВГРАД,53,14,2,5228,216,0.6605448795913403,0.9007936507936508,0.24024877120231047,0.1704284621270084,0.023148148148148147,-0.14728031397886027,0.07142857142857142,0.0,-0.07142857142857142,1,0,-29.69353554271225,0,0
